Filename	AtlasID	Strain	Tissue	Individual
US81403230_256848910001_S01_GE1_107_Sep09_1_1.txt	HT2010	F1	HT	2010
US81403230_256848910001_S01_GE1_107_Sep09_1_2.txt	HT2024	F1	HT	2024
US81403230_256848910001_S01_GE1_107_Sep09_1_3.txt	HT513	BFMI	HT	513
US81403230_256848910001_S01_GE1_107_Sep09_1_4.txt	HT514	BFMI	HT	514
US81403230_256848910001_S01_GE1_107_Sep09_2_1.txt	GF2010	F1	GF	2010
US81403230_256848910001_S01_GE1_107_Sep09_2_2.txt	GF2024	F1	GF	2024
US81403230_256848910001_S01_GE1_107_Sep09_2_3.txt	GF513	BFMI	GF	513
US81403230_256848910001_S01_GE1_107_Sep09_2_4.txt	GF514	BFMI	GF	514
US81403230_256848910002_S01_GE1_107_Sep09_1_1.txt	HT527	BFMI	HT	527
US81403230_256848910002_S01_GE1_107_Sep09_1_2.txt	HT532	BFMI	HT	532
US81403230_256848910002_S01_GE1_107_Sep09_1_3.txt	HT7060	B6N	HT	7060
US81403230_256848910002_S01_GE1_107_Sep09_1_4.txt	HT7061	B6N	HT	7061
US81403230_256848910002_S01_GE1_107_Sep09_2_1.txt	GF527	BFMI	GF	527
US81403230_256848910002_S01_GE1_107_Sep09_2_2.txt	GF532	BFMI	GF	532
US81403230_256848910002_S01_GE1_107_Sep09_2_3.txt	GF7060	B6N	GF	7060
US81403230_256848910002_S01_GE1_107_Sep09_2_4.txt	GF7061	B6N	GF	7061
